packed_key,from_node_id,to_node_id,qvdf_start_speed_mph_am,qvdf_end_speed_mph_am,qvdf_start_speed_mph_md,qvdf_end_speed_mph_md,qvdf_start_speed_mph_pm,qvdf_end_speed_mph_pm,baseline_anchor_source,stage2_anchor_source,baseline_qvdf_start_speed_mph_am,stage1_assignment_qvdf_start_speed_mph_am,baseline_qvdf_end_speed_mph_am,stage1_assignment_qvdf_end_speed_mph_am,baseline_qvdf_start_speed_mph_md,stage1_assignment_qvdf_start_speed_mph_md,baseline_qvdf_end_speed_mph_md,stage1_assignment_qvdf_end_speed_mph_md,baseline_qvdf_start_speed_mph_pm,stage1_assignment_qvdf_start_speed_mph_pm,baseline_qvdf_end_speed_mph_pm,stage1_assignment_qvdf_end_speed_mph_pm
151762669439387,35335,35227,55.8512,57.5461,57.5461,56.3432,56.3432,53.4454,assignment,stage1_assignment_speed_mph,53.3749,55.8512,54.0924,57.5461,54.0924,57.5461,48.1961,56.3432,48.1961,56.3432,41.5823,53.4454
151766964406894,35336,35438,58.3071,58.93615,58.93615,58.7915,58.7915,58.0178,assignment,stage1_assignment_speed_mph,54.5697,58.3071,55.68625,58.93615,55.68625,58.93615,52.30855,58.7915,52.30855,58.7915,47.8143,58.0178
151771259373981,35337,35229,58.6221,59.2255,59.2255,58.24675,58.24675,56.6646,assignment,stage1_assignment_speed_mph,55.2358,58.6221,55.96335,59.2255,55.96335,59.2255,51.3759,58.24675,51.3759,58.24675,46.0609,56.6646
151775554340886,35338,34838,63.637608,57.49381,57.49381,71.27652,71.27652,69.816956,actual,actual,63.637608,75.0,57.49381,59.9852,57.49381,59.9852,71.27652,50.8556,71.27652,50.8556,69.816956,56.7408
151779849308684,35339,35340,62.68174,64.168915,64.168915,63.110435,63.110435,62.082172,actual,actual,62.68174,60.9924,64.168915,61.8687,64.168915,61.8687,63.110435,60.5072,63.110435,60.5072,62.082172,58.2694
151784144275776,35340,35136,62.68174,64.168915,64.168915,63.110435,63.110435,62.082172,actual,actual,62.68174,61.8075,64.168915,62.3783,64.168915,62.3783,63.110435,61.0046,63.110435,61.0046,62.082172,59.0601
151784144275779,35340,35139,61.3657,61.8228,61.8228,61.9454,61.9454,61.6109,assignment,stage1_assignment_speed_mph,61.1018,61.3657,61.22665,61.8228,61.22665,61.8228,61.07585,61.9454,61.07585,61.9454,60.8002,61.6109
151788439242031,35341,34095,28.833914,23.939774,23.939774,20.893696,20.893696,23.085434,actual,actual,28.833914,25.9487,23.939774,26.4447,23.939774,26.4447,20.893696,26.332,20.893696,26.332,23.085434,25.7233
151788439244047,35341,36111,32.38257,27.822392,27.822392,22.225435,22.225435,21.511305,actual,actual,32.38257,29.1286,27.822392,27.8376,27.822392,27.8376,22.225435,25.31935,22.225435,25.31935,21.511305,24.0921
151792734209326,35342,34094,44.97273,41.52978,41.52978,37.978695,37.978695,37.076088,actual,actual,44.97273,31.5821,41.52978,31.8405,41.52978,31.8405,37.978695,28.31235,37.978695,28.31235,37.076088,24.5258
151792734209339,35342,34107,19.05761,18.473043,18.473043,17.946304,17.946304,17.776304,actual,actual,19.05761,23.3223,18.473043,23.62475,18.473043,23.62475,17.946304,22.8767,17.946304,22.8767,17.776304,21.8262
151797029177808,35343,35280,61.13,56.18135,56.18135,52.81575,52.81575,54.3988,assignment,stage1_assignment_speed_mph,56.3459,61.13,36.3873,56.18135,36.3873,56.18135,35.4589,52.81575,35.4589,52.81575,54.4891,54.3988
151801324145169,35344,35345,63.65391,62.363697,62.363697,61.81326,61.81326,60.59174,actual,actual,63.65391,61.7333,62.363697,62.3334,62.363697,62.3334,61.81326,60.73715,61.81326,60.73715,60.59174,58.5408
151805619112310,35345,35190,63.65391,62.363697,62.363697,61.81326,61.81326,60.59174,actual,actual,63.65391,50.0,62.363697,50.0,62.363697,50.0,61.81326,50.0,61.81326,50.0,60.59174,50.0
151805619112466,35345,35346,50.0,50.0,50.0,50.0,50.0,50.0,assignment,stage1_assignment_speed_mph,50.0,50.0,50.0,50.0,50.0,50.0,48.83065,50.0,48.83065,50.0,47.6613,50.0
151809914079763,35346,35347,63.0,63.0,63.0,59.8004,59.8004,56.6008,assignment,stage1_assignment_speed_mph,63.0,63.0,63.0,63.0,63.0,63.0,57.56585,59.8004,57.56585,59.8004,52.1317,56.6008
151814209047061,35347,35349,63.0,63.0,63.0,59.8051,59.8051,56.6102,assignment,stage1_assignment_speed_mph,63.0,63.0,63.0,63.0,63.0,63.0,57.56585,59.8051,57.56585,59.8051,52.1317,56.6102
151818504014357,35348,35349,10.0,10.0,10.0,10.0,10.0,10.0,assignment,stage1_assignment_speed_mph,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
151818504014358,35348,35350,66.333046,67.25696,67.25696,66.196304,66.196304,65.67739,actual,actual,66.333046,62.6001,67.25696,63.97815,67.25696,63.97815,66.196304,62.46215,66.196304,62.46215,65.67739,59.5681
151822798981655,35349,35351,69.0,69.0,69.0,63.2431,63.2431,57.4862,assignment,stage1_assignment_speed_mph,69.0,69.0,69.0,69.0,69.0,69.0,48.94795,63.2431,48.94795,63.2431,28.8959,57.4862
151827093948792,35350,35192,66.597824,67.77022,67.77022,67.00891,67.00891,66.490456,actual,actual,66.597824,62.7842,67.77022,64.12895,67.77022,64.12895,67.00891,62.5112,67.00891,62.5112,66.490456,59.5487
151831388916246,35351,35350,10.0,10.0,10.0,10.0,10.0,10.0,assignment,stage1_assignment_speed_mph,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
151831388916248,35351,35352,69.0,69.0,69.0,63.19895,63.19895,57.3979,assignment,stage1_assignment_speed_mph,69.0,69.0,69.0,69.0,69.0,69.0,49.07915,63.19895,49.07915,63.19895,29.1583,57.3979
151835683883545,35352,35353,75.0,75.0,75.0,70.71955,70.71955,66.4391,assignment,stage1_assignment_speed_mph,75.0,75.0,75.0,75.0,75.0,75.0,56.68885,70.71955,56.68885,70.71955,38.3777,66.4391
151839978850843,35353,35355,75.0,75.0,75.0,70.72095,70.72095,66.4419,assignment,stage1_assignment_speed_mph,75.0,75.0,75.0,75.0,75.0,75.0,56.68885,70.72095,56.68885,70.72095,38.3777,66.4419
151844273818139,35354,35355,10.0,10.0,10.0,10.0,10.0,10.0,assignment,stage1_assignment_speed_mph,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
151844273818140,35354,35356,66.33761,67.265434,67.265434,66.780655,66.780655,65.87348,actual,actual,66.33761,69.2531,67.265434,70.4345,67.265434,70.4345,66.780655,69.8312,66.780655,69.8312,65.87348,68.0465
151848568785437,35355,35357,75.0,75.0,75.0,70.07405,70.07405,65.1481,assignment,stage1_assignment_speed_mph,75.0,75.0,75.0,75.0,75.0,75.0,56.68885,70.07405,56.68885,70.07405,38.3777,65.1481
151852863752570,35356,35194,66.33761,67.265434,67.265434,66.780655,66.780655,65.87348,actual,actual,66.33761,69.3583,67.265434,70.5203,67.265434,70.5203,66.780655,69.90585,66.780655,69.90585,65.87348,68.1294
151857158720028,35357,35356,10.0,10.0,10.0,10.0,10.0,10.0,assignment,stage1_assignment_speed_mph,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
151857158720030,35357,35358,75.0,75.0,75.0,70.34755,70.34755,65.6951,assignment,stage1_assignment_speed_mph,75.0,75.0,75.0,75.0,75.0,75.0,56.9303,70.34755,56.9303,70.34755,38.8606,65.6951
151861453687327,35358,35359,69.0,69.0,69.0,62.72865,62.72865,56.4573,assignment,stage1_assignment_speed_mph,69.0,69.0,69.0,69.0,69.0,69.0,49.25735,62.72865,49.25735,62.72865,29.5147,56.4573
151865748654625,35359,35361,69.0,69.0,69.0,62.7309,62.7309,56.4618,assignment,stage1_assignment_speed_mph,69.0,69.0,69.0,69.0,69.0,69.0,49.25735,62.7309,49.25735,62.7309,29.5147,56.4618
151870043621921,35360,35361,10.0,10.0,10.0,10.0,10.0,10.0,assignment,stage1_assignment_speed_mph,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
151870043621922,35360,35362,65.164345,66.43652,66.43652,66.39369,66.39369,65.06435,actual,actual,65.164345,61.9886,66.43652,63.49505,66.43652,63.49505,66.39369,62.10955,66.39369,62.10955,65.06435,59.2176
151874338589219,35361,35363,69.0,69.0,69.0,61.86955,61.86955,54.7391,assignment,stage1_assignment_speed_mph,69.0,69.0,69.0,69.0,69.0,69.0,48.6134,61.86955,48.6134,61.86955,28.2268,54.7391
151878633556348,35362,35196,64.946304,66.180435,66.180435,66.42913,66.42913,64.56674,actual,actual,64.946304,61.7742,66.180435,63.2962,66.180435,63.2962,66.42913,61.8895,66.42913,61.8895,64.56674,58.9608
151882928523810,35363,35362,10.0,10.0,10.0,10.0,10.0,10.0,assignment,stage1_assignment_speed_mph,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
151882928523812,35363,35364,69.0,69.0,69.0,62.6114,62.6114,56.2228,assignment,stage1_assignment_speed_mph,69.0,69.0,69.0,69.0,69.0,69.0,49.95245,62.6114,49.95245,62.6114,30.9049,56.2228
151887223491109,35364,35365,63.0,63.0,63.0,56.1859,56.1859,49.3718,assignment,stage1_assignment_speed_mph,63.0,63.0,63.0,63.0,63.0,63.0,44.14345,56.1859,44.14345,56.1859,25.2869,49.3718
151891518458407,35365,35367,63.0,63.0,63.0,56.1791,56.1791,49.3582,assignment,stage1_assignment_speed_mph,63.0,63.0,63.0,63.0,63.0,63.0,44.14345,56.1791,44.14345,56.1791,25.2869,49.3582
151895813425703,35366,35367,10.0,10.0,10.0,10.0,10.0,10.0,assignment,stage1_assignment_speed_mph,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
151895813425704,35366,35368,65.289345,65.877174,65.877174,66.483475,66.483475,65.252174,actual,actual,65.289345,59.3365,65.877174,59.9317,65.877174,59.9317,66.483475,56.8556,66.483475,56.8556,65.252174,53.1843
151900108393001,35367,35369,63.0,63.0,63.0,55.7104,55.7104,48.4208,assignment,stage1_assignment_speed_mph,63.0,63.0,63.0,63.0,63.0,63.0,44.0361,55.7104,44.0361,55.7104,25.0722,48.4208
151904403360126,35368,35198,65.289345,65.877174,65.877174,66.483475,66.483475,65.252174,actual,actual,65.289345,56.6302,65.877174,58.44185,65.877174,58.44185,66.483475,54.373,66.483475,54.373,65.252174,48.4925
151908698327592,35369,35368,10.0,10.0,10.0,10.0,10.0,10.0,assignment,stage1_assignment_speed_mph,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
151908698327594,35369,35370,63.0,63.0,63.0,54.2714,54.2714,45.5428,assignment,stage1_assignment_speed_mph,63.0,63.0,63.0,63.0,63.0,63.0,56.2754,54.2714,56.2754,54.2714,49.5508,45.5428
151912993294891,35370,35371,63.0,63.0,63.0,54.27165,54.27165,45.5433,assignment,stage1_assignment_speed_mph,63.0,63.0,63.0,63.0,63.0,63.0,56.2754,54.27165,56.2754,54.27165,49.5508,45.5433
151917288262191,35371,35375,63.0,63.0,63.0,54.26875,54.26875,45.5375,assignment,stage1_assignment_speed_mph,63.0,63.0,63.0,63.0,63.0,63.0,56.2754,54.26875,56.2754,54.26875,49.5508,45.5375
151921583229401,35372,35289,60.0,60.0,60.0,60.0,60.0,60.0,assignment,stage1_assignment_speed_mph,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
151921583229549,35372,35437,58.6167,59.2206,59.2206,58.2373,58.2373,56.6501,assignment,stage1_assignment_speed_mph,55.2358,58.6167,55.96335,59.2206,55.96335,59.2206,51.3759,58.2373,51.3759,58.2373,46.0609,56.6501
151925878196636,35373,35228,55.4625,57.19705,57.19705,56.7343,56.7343,54.537,assignment,stage1_assignment_speed_mph,52.6889,55.4625,53.7935,57.19705,53.7935,57.19705,49.0556,56.7343,49.0556,56.7343,43.2131,54.537
151925878196699,35373,35291,63.0,63.0,63.0,63.0,63.0,63.0,assignment,stage1_assignment_speed_mph,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
151930173164079,35374,35375,10.0,10.0,10.0,10.0,10.0,10.0,assignment,stage1_assignment_speed_mph,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
151930173164080,35374,35376,66.12955,66.77935,66.77935,66.70296,66.70296,65.554344,actual,actual,66.12955,56.9567,66.77935,58.6185,66.77935,58.6185,66.70296,54.74075,66.70296,54.74075,65.554344,49.2012
151934468131377,35375,35377,63.0,63.0,63.0,53.61735,53.61735,44.2347,assignment,stage1_assignment_speed_mph,63.0,63.0,63.0,63.0,63.0,63.0,52.58645,53.61735,52.58645,53.61735,42.1729,44.2347
