packed_key,from_node_id,to_node_id,stage2_anchor_source,period,qvdf_start_speed_mph,qvdf_end_speed_mph,boundary_status
970662630633,226,21737,stage1_assignment_speed_mph,PM,16.88615,16.8378,both
974957596586,227,20394,stage1_assignment_speed_mph,PM,16.93845,16.9094,both
974957597655,227,21463,stage1_assignment_speed_mph,PM,16.98085,16.9826,both
979252563880,228,20392,stage1_assignment_speed_mph,PM,16.89585,16.8597,both
979252564601,228,21113,stage1_assignment_speed_mph,PM,16.96195,16.9456,both
983547531897,229,21113,stage1_assignment_speed_mph,PM,16.9997,16.9996,both
983547531898,229,21114,stage1_assignment_speed_mph,PM,16.9925,16.9905,both
983547531929,229,21145,stage1_assignment_speed_mph,PM,16.98205,16.9774,both
983547532241,229,21457,stage1_assignment_speed_mph,PM,16.9999,16.9999,both
987842499537,230,21457,stage1_assignment_speed_mph,PM,16.97955,16.9743,both
987842499538,230,21458,stage1_assignment_speed_mph,PM,16.99675,16.9978,both
987842499539,230,21459,stage1_assignment_speed_mph,PM,16.9845,16.9797,both
987842499540,230,21460,stage1_assignment_speed_mph,PM,16.9798,16.976,both
992137465770,231,20394,stage1_assignment_speed_mph,PM,16.9752,16.9669,both
992137466511,231,21135,stage1_assignment_speed_mph,PM,16.9998,16.9997,both
992137466834,231,21458,stage1_assignment_speed_mph,PM,16.9554,16.94,both
996432433808,232,21136,stage1_assignment_speed_mph,PM,16.9927,16.9916,both
996432433809,232,21137,stage1_assignment_speed_mph,PM,16.9483,16.9313,both
996432434133,232,21461,stage1_assignment_speed_mph,PM,16.98255,16.9753,both
1000727401107,233,21139,stage1_assignment_speed_mph,PM,16.9503,16.9347,both
1000727401128,233,21160,stage1_assignment_speed_mph,PM,16.99325,16.9894,both
1000727401129,233,21161,stage1_assignment_speed_mph,PM,16.99015,16.9896,both
1000727401429,233,21461,stage1_assignment_speed_mph,PM,16.9761,16.9708,both
1005022368288,234,21024,stage1_assignment_speed_mph,PM,16.9942,16.9943,both
1005022368432,234,21168,stage1_assignment_speed_mph,PM,16.97315,16.966,both
1005022368837,234,21573,stage1_assignment_speed_mph,PM,16.9912,16.9892,both
1005022369059,234,21795,stage1_assignment_speed_mph,PM,16.98975,16.9847,both
1009317335723,235,21163,stage1_assignment_speed_mph,PM,16.9647,16.9541,both
1009317336131,235,21571,stage1_assignment_speed_mph,PM,16.99785,16.9976,both
1009317336457,235,21897,stage1_assignment_speed_mph,PM,16.9945,16.9929,both
1009317336458,235,21898,stage1_assignment_speed_mph,PM,16.98695,16.982,both
1013612303010,236,21154,stage1_assignment_speed_mph,PM,16.96475,16.953,both
1013612303013,236,21157,stage1_assignment_speed_mph,PM,16.9413,16.9327,both
1013612303071,236,21215,stage1_assignment_speed_mph,PM,17.0,17.0,both
1013612303424,236,21568,stage1_assignment_speed_mph,PM,16.9996,16.9995,both
1017907270309,237,21157,stage1_assignment_speed_mph,PM,16.97075,16.9542,both
1017907270313,237,21161,stage1_assignment_speed_mph,PM,16.9597,16.9488,both
1017907270315,237,21163,stage1_assignment_speed_mph,PM,16.9923,16.999,both
1022202237595,238,21147,stage1_assignment_speed_mph,PM,17.0,17.0,both
1022202237597,238,21149,stage1_assignment_speed_mph,PM,16.96225,16.9495,both
1022202237598,238,21150,stage1_assignment_speed_mph,PM,16.97475,16.9641,both
1022202237600,238,21152,stage1_assignment_speed_mph,PM,16.9998,16.9997,both
1026497204850,239,21106,stage1_assignment_speed_mph,PM,16.99405,16.9914,both
1026497205195,239,21451,stage1_assignment_speed_mph,PM,16.95495,16.9538,both
1026497205196,239,21452,stage1_assignment_speed_mph,PM,16.99315,16.9911,both
1026497205197,239,21453,stage1_assignment_speed_mph,PM,16.91915,16.9068,both
1030792172154,240,21114,stage1_assignment_speed_mph,PM,16.95265,16.9445,both
1030792172192,240,21152,stage1_assignment_speed_mph,PM,16.9967,16.9935,both
1030792172214,240,21174,stage1_assignment_speed_mph,PM,16.9861,16.9821,both
1030792172496,240,21456,stage1_assignment_speed_mph,PM,16.9913,16.9921,both
1035087139790,241,21454,stage1_assignment_speed_mph,PM,16.95235,16.9399,both
1035087139791,241,21455,stage1_assignment_speed_mph,PM,16.93485,16.9194,both
1039382106742,242,21110,stage1_assignment_speed_mph,PM,16.9852,16.9811,both
1039382107086,242,21454,stage1_assignment_speed_mph,PM,16.98495,16.9824,both
1039382107087,242,21455,stage1_assignment_speed_mph,PM,16.9916,16.9898,both
1043677074381,243,21453,stage1_assignment_speed_mph,PM,16.94245,16.9251,both
1043677074829,243,21901,stage1_assignment_speed_mph,PM,16.992,16.99,both
1047972041155,244,20931,stage1_assignment_speed_mph,PM,16.9509,16.9389,both
1047972041327,244,21103,stage1_assignment_speed_mph,PM,16.9386,16.9251,both
1052267008448,245,20928,stage1_assignment_speed_mph,PM,16.9509,16.9393,both
1052267008622,245,21102,stage1_assignment_speed_mph,PM,16.9344,16.9216,both
1052267008988,245,21468,stage1_assignment_speed_mph,PM,16.9866,16.983,both
1056561975748,246,20932,stage1_assignment_speed_mph,PM,16.99375,16.9923,both
